Aida Mana,相田 マナ,Aida Mana
Cure Heart,キュアハート,Kyua Hāto
Kyunkyun!,キュンキュン！,Kyun Kyun!
Aino Megumi,愛乃 めぐみ,Aino Megumi
Cure Lovely,キュアラブリー,Kyua Raburī
Cherry Flamenco,チェリーフラメンコ,Cherī Furamenko
Lollipop Hip Hop,ロリポップヒップホップ,Roripoppu Hippu Hoppu
Akimoto Komachi,秋元 こまち,Akimoto Komachi
Cure Mint,キュアミント,Kyua Minto
Aoki Reika,青木　れいか,Aoki Reika
Cure Beauty,キュアビューティ,Kyua Byūti
Aono Miki,蒼乃 美希,Aono Miki
Cure Berry,キュアベリー,Kyua Berii
I'm perfect!,あたし、完璧！,"Atashi, kanpeki!"
Cure Ange,キュアアンジェ,Kyua Anje
Cure Empress,キュアエンプレス,Kyua Enpuresu
Cure Magician,キュアマジシャン,Kyuamajishan
Cure Priestess,キュアプリーステス,Kyua Purīsutesu
Dark Pretty Cure,ダークプリキュア,Daakupurikyua
Dark Pretty Cure 5,ダークプリキュア5,Daakupurikyua Faibu
Hanasaki Kaoruko,花咲 薫子,Hanasaki Kaoruko
Cure Flower,キュアフラワー,Kyua Furawaa
Hanasaki Tsubomi,花咲 つぼみ,Hanasaki Tsubomi
I have reached my limit!,私、堪忍袋の緒が切れました！,"Watashi, kanninbukuro no o ga kiremashita!"
Higashi Setsuna,東 せつな,Higashi Setsuna
Eas,イース,Īsu
Eas,イース,Iisu
Cure Passion,キュアパッション,Kyua Passhon
I'll do my best!,精一杯頑張るわ！,Seiippai ganbaru wa!
Hikawa Iona,氷川 いおな,Hikawa Iona
Cure Fortune,キュアフォーチュン,Kyua Fōchun
Anmitsu Komachi,あんみつこまち,Anmitsukomachi
Pine Arabian,パインアラビアン,Paiin Arabia
Hino Akane,日野 あかね,Hino Akane
Hishikawa Rikka,菱川 六花,Hishikawa Rikka
Cure Diamond,キュアダイヤモンド,Kyua Daiyamondo
Hojo Hibiki,北条 響,Hojo Hibiki
Cure Melody,キュアメロディ,Kyuamerodi
I'm betting my pride as a woman on this!,ここで決めなきゃ女がすたる!,Koko de kimenakya on'na ga sutaru!
Hoshizora Miyuki,星空 みゆき,Hoshizora Miyuki
Hyuuga Saki,日向 咲,Hyuuga Saki
I'm in top form,ぜっこうちょう,zekkouchou
Cure Bloom,キュアブルーム,Kyua Buruumu
Cure Bright,キュアブライト,Kyua Buraito
Infinity Silhouette,無限シルエット,Mugen Shiruetto
Kasugano Urara,春日野 うらら,Kasugano Urara
Cure Lemonade,キュアレモネード,Kyua Remoneedo
Kenzaki Makoto,剣崎 真琴,Kenzaki Makoto
Cure Sword,キュアソード,Kyua Sōdo
Kiryuu Kaoru,霧生 薫,Kiryuu Kaoru
Kiryuu Michiru,霧生 満,Kiryuu Michiru
Kise Yayoi,黄瀬 やよい,Kise Yayoi
Kujou Hikari,九条 ひかり,Kujou Hikari
Shiny Luminous,シャイニルミナス,Shaini Ruminasu
Kurumi Erika,来海 えりか,Kurumi Erika
"Even a girl like me, with a heart that's wider than the sea, is at her limit",海より広いあたしの心も、ここらが我慢の限界よ！,"Umi yori hiroi atashi no kokoro mo, kokora ga gaman no genkai yo!"
Cure Marine,キュアマリン,Kyua Marin
Madoka Aguri,円 亜久里,Madoka Aguri
Cure Ace,キュアエース,Kyua Ēsu
Midorikawa Nao,緑川 なお,Midorikawa Nao
Cure March,キュアマーチ,Kyua Māchi
Milk,ミルク,Miruku
Minamino Kanade,南野 奏,Minamino Kanade
Cure Rhythm,キュアリズム,Kyua Rizumu
I'll show you my spirited recipe!,気合のレシピみせてあげるわ!,Kiai no reshipi misete ageru wa!
Minazuki Karen,水無月 かれん,Minazuki Karen
Cure Aqua,キュアアクア,Kyua Akua
Mishou Mai,美翔 舞,Mishou Mai
Cure Egret,キュアハート,Kyua Iiguretto
Cure Windy,キュアウィンディ,Kyua Windi
Misumi Nagisa,美墨 なぎさ,Misumi Nagisa
Cure Black,キュアブラック,Kyuaburakku
Arienai!,ありえなーい！！,arienaai!!
Unbelievable!,ラッキー！,rakki!
Momozono Love,桃園 ラブ,Momozono Rabu
Cure Peach,キュアピーチ,Kyua Piichi
Get your happiness!,しあわせゲットだよ！,Shiawase getto da yo!
Myoudouin Itsuki,明堂院 いつき,Myoudouin Itsuki
Cure Sunshine,キュアサンシャイン,Kyua Sanshain
I will heal the darkness in your heart with my light.,その心の闇、私の光で照らしてみせる!,"Sono kokoro no yami, watashi no hikari de tera shitemiseru!"
Natsuki Rin,夏木 りん,Natsuki Rin
Cure Rouge,キュアルージュ,Kyua Ruuju
Omori Yuko,大森 ゆうこ,Ōmori Yūko
Cure Honey,キュアハニー,Kyua Hanī
Popcorn Cheer,ポップコーンチア,Poppukōn Chia
Coconuts Samba,ココナッツ サンバ,Kokonattsu Sanba
Pretty Cure,プリキュア,Purikyua
Sakagami Ayumi,坂上 あゆみ,Sakagami Ayumi
Cure Echo,キュアエコー,Kyua Ekoo
Shirabe Ako,調辺 アコ,Shirabe Ako
Shirayuki Hime,白雪 ひめ,Shirayuki Hime
Himelda Window Cure Queen of the Blue Sky,ヒメルダ・ウインドウ・キュアクイーン・オブ・ザ・ブルースカイ,Himeruda Uindō Kyua Kuīn obu za Burū Sukai
Siren,セイレーン,Seirēn
Tsukikage Yuri,月影 ゆり,Tsukikage Yuri
Cure Moonlight,キュアムーンライト,Kyua Muunraito
"I'll keep fighting, for everyone's heart!",全ての心が満ちるまで、私は戦い続ける!,"Subete no kokoro ga michi rumade , watashi wa tatakai tsuzukeru!"
Yamabuki Inori,山吹 祈里,Yamabuki Inori
Cure Pine,キュアパイン,Kyua Paiin
I believe!,わたし、信じてる！,"Watashi, shinjiteru!"
Yotsuba Alice,四葉 ありす,Yotsuba Arisu
Cure Rosetta,キュアロゼッタ,Kyua Rozetta
Yukishiro Honoka,雪城 ほのか,Yukishiro Honoka
Cure White,キュアホワイト,Kyuahowaito
Yumehara Nozomi,夢原 のぞみ,Yumehara Nozomi
It is decided!,決定！,Kettei!
Cure Dream,キュアドリーム,Kyua Doriimu
